Date,Time,Latitude (CCTV),Longitude (CCTV),Station ID,CO,NO2,O3,SO2,PM2.5,PM10,US EPA Index,Temperature (C),Humidity (%),Wind Speed (km/h),Precipitation (mm)
6/7/2025,08:00-09:00,13.7685,102.3265,PER-12-009,207.6206253,12.98539081,31.99384785,3.347775663,12.78424855,14.63654833,1.002152335,28.49958587,72.99261836,18.38181018,0.010287058
6/7/2025,12:00-13:00,13.7685,102.3265,PER-12-009,218.7717493,11.50159134,26.99324019,3.347680935,12.41583472,14.26732279,1.00302782,30.50091278,67.98144267,21.18622468,1.066792135
6/7/2025,17:00-18:00,13.7685,102.3265,PER-12-009,212.8710602,2.965681235,69.02306453,3.711095565,13.87921623,25.34703935,1.000710021,28.5042037,80.95936258,18.39315903,0.440239326
6/7/2025,08:00-09:00,14.6315,100.4732,PER-12-012,418.7851845,54.82736324,13.99732232,31.34165736,28.14782863,30.34624246,2.011886242,25.57284855,83.64750916,8.090624656,0
6/7/2025,12:00-13:00,14.6315,100.4732,PER-12-012,214.7546941,61.49051519,8.273457463,36.29157047,34.12074388,36.48730387,2.011886242,30.6700355,60.73744932,15.53053429,2.91E-05
6/7/2025,17:00-18:00,14.6315,100.4732,PER-12-012,228.557693,7.579906081,81.82182218,16.37058876,17.31984131,23.45229074,1.981133584,28.84078116,70.87802789,10.42540097,0.538311568
6/7/2025,08:00-09:00,14.1311,100.2899,PER-12-013,391.5517895,55.22973249,9.81729623,24.73682197,43.86186999,45.82221333,2.543729541,28.02592635,70.52715739,12.73565986,0
6/7/2025,12:00-13:00,14.1311,100.2899,PER-12-013,353.7776306,38.31543039,16.71345134,20.33782459,41.09608467,42.30909397,2.354946558,32.56322589,53.42651727,14.92786916,0
6/7/2025,17:00-18:00,14.1311,100.2899,PER-12-013,270.0078558,8.212999136,74.21859903,9.439777416,15.12250754,21.29343556,1.487637632,29.76406912,68.73873553,12.45528276,0.578417139
6/7/2025,08:00-09:00,14.1389,100.4938,PER-12-019,502.2373983,66.48690255,7.438125792,34.77802267,55.81606971,57.78247152,2.964663803,28.26768451,70.17081267,13.46814578,0
6/7/2025,12:00-13:00,14.1389,100.4938,PER-12-019,332.0495633,53.54371629,8.732438404,31.91623562,55.64155417,57.09957411,2.941410002,33.02400802,52.71354904,16.78477285,0
6/7/2025,17:00-18:00,14.1389,100.4938,PER-12-019,278.0157297,11.22686716,78.97265057,13.1449585,19.51721,26.66180806,1.953157404,29.8528007,68.5079578,13.36839215,0.893288902
6/7/2025,08:00-09:00,12.7664,102.0904,PER-12-025,195.5311183,9.835406471,35.83733631,2.416969366,9.636056156,13.7259461,1.060382717,27.68887981,81.94833748,12.38533253,0.794728455
6/7/2025,12:00-13:00,12.7664,102.0904,PER-12-025,216.198319,7.952633021,30.2407329,2.471531739,6.246704029,8.793109518,1.050092865,28.49607433,81.69585152,15.03881903,1.524224494
6/7/2025,17:00-18:00,12.7664,102.0904,PER-12-025,189.2040071,1.932942659,63.97271551,2.487062558,12.95125419,27.38934752,1.020585836,27.4584393,84.85579111,13.75774759,0.932940322
6/7/2025,08:00-09:00,16.758702,100.235428,PER-13-006,463.3146966,28.06626398,31.5449846,3.743383088,23.05768366,23.81066788,1.990840252,26.72660437,82.72320016,5.047854703,0.152511813
6/7/2025,12:00-13:00,16.758702,100.235428,PER-13-006,511.7098256,22.48744827,23.10552703,3.402456951,21.97151294,22.54692737,2.003058173,29.71136217,67.93347122,7.106574369,0.009189369
6/7/2025,17:00-18:00,16.758702,100.235428,PER-13-006,343.9748353,2.675463856,86.86561429,2.769016208,15.43550814,18.7570256,1.950495813,27.37402934,83.49741575,7.209828871,0.977445569
6/7/2025,08:00-09:00,15.170918,101.739303,PER-13-022,396.8440869,23.18576206,28.84856658,15.5215289,11.22824109,12.69171554,1.033080199,27.83027495,70.40013257,14.91379006,0
6/7/2025,08:00-09:00,15.4058536,101.6359209,PER-17-005,378.4301867,24.59759533,29.3630501,13.80579803,14.2764048,15.5959932,1.196406439,27.41975701,72.73664482,13.89857741,0.003332477
6/7/2025,12:00-13:00,15.170918,101.739303,PER-13-022,470.0944681,27.36847268,23.11270453,18.84442033,16.20764843,18.05572382,2.009400661,30.34238929,60.93175309,22.06806797,0.07724946
6/7/2025,12:00-13:00,15.4058536,101.6359209,PER-17-005,420.1154762,27.48568175,22.78083243,16.68545265,18.98523456,20.66681267,2.036011381,30.5511138,60.89876159,20.76402551,0.074429706
6/7/2025,17:00-18:00,15.170918,101.739303,PER-13-022,225.7113846,2.941080052,80.18449529,8.268089265,11.55033876,15.81065642,1.01760443,30.26627379,64.22455675,18.85456055,0.073912216
6/7/2025,17:00-18:00,15.4058536,101.6359209,PER-17-005,238.1343528,3.525911932,79.43260814,7.915516292,12.50716222,17.32416299,1.084435723,30.02118731,65.9171084,17.76532657,0.173775609
6/7/2025,08:00-09:00,14.48379,100.172649,PER-13-024,238.6996729,26.3608308,17.06156325,7.150667899,24.10736391,25.50432241,2.055976074,27.53345103,74.24845023,13.95402935,0
6/7/2025,12:00-13:00,14.48379,100.172649,PER-13-024,231.9607909,23.3456034,18.89058213,6.63213362,23.3417783,24.38577741,2.055976074,32.70432768,52.52844942,16.16607434,0.000453989
6/7/2025,17:00-18:00,14.48379,100.172649,PER-13-024,222.8822122,2.767981316,65.4641202,4.015114154,9.923860004,15.92533661,1.115631732,30.19644479,66.38420206,10.08999113,0.721721819
6/7/2025,08:00-09:00,13.98231,99.578875,PER-13-025,201.1792678,15.35607888,21.553954,2.906476583,13.27471592,15.11340134,1.057480473,27.27655193,73.6020434,9.5984796,0
6/7/2025,12:00-13:00,13.98231,99.578875,PER-13-025,213.4502505,14.32879292,25.06338188,3.078220058,13.4681241,14.3860416,1.05767609,33.26726971,51.3719658,13.46319083,0.055433973
6/7/2025,17:00-18:00,13.98231,99.578875,PER-13-025,191.9402871,0.652330033,55.78680743,2.057463875,5.302549419,8.578537659,1,31.53739827,57.07925363,22.56097133,0.023545923
6/7/2025,08:00-09:00,14.085407,100.617906,PER-13-029,2327.787795,82.57940285,7.184849494,29.68232332,59.41851369,62.342189,2.993782002,28.06151489,69.12302222,11.59210635,0
6/7/2025,12:00-13:00,14.085407,100.617906,PER-13-029,366.0142284,58.072903,8.392187341,24.86641283,55.444266,57.6749793,2.972279608,33.06466334,50.54523379,16.54187968,0
6/7/2025,17:00-18:00,14.085407,100.617906,PER-13-029,569.3732146,15.788355,94.02482174,17.36042696,25.93568817,34.50299968,1.983419632,30.28823336,65.71022416,15.36988022,0.814694559
6/7/2025,08:00-09:00,13.605208,101.303892,PER-13-032,253.7759919,23.91136666,28.78520614,6.517058918,20.40561986,23.27137795,1.948080753,28.83377346,69.63663471,14.38634402,0.008986084
6/7/2025,12:00-13:00,13.605208,101.303892,PER-13-032,280.931131,19.4009717,21.08982879,5.567240214,17.2674264,19.58502514,1.938040469,31.54033818,60.07479407,17.27927389,0.018213861
6/7/2025,17:00-18:00,13.605208,101.303892,PER-13-032,239.3368977,4.163309854,68.05507653,4.991045846,14.90362275,27.50319969,1.027428694,30.14519904,68.96060828,17.44277114,0.566757613
6/7/2025,08:00-09:00,12.895548,99.910673,PER-13-033,193.4332575,6.330495228,36.6024519,1.905050617,4.086752815,4.99207055,1.083405769,27.85439744,69.49267509,12.45876989,0.000273627
6/7/2025,12:00-13:00,12.895548,99.910673,PER-13-033,199.2407576,4.076238979,38.68144726,1.220228105,4.457710926,5.66711588,1.097786904,30.92943587,58.87904071,18.1304104,0.003923382
6/7/2025,17:00-18:00,12.895548,99.910673,PER-13-033,186.9694009,1.300986363,49.59962953,1.048939662,4.892364406,9.631237089,1,29.45261836,65.90211188,20.70831549,0.057412357
6/7/2025,08:00-09:00,13.583539,99.830452,PER-13-034,197.1386855,16.88969592,22.7163713,3.879057582,12.62138869,13.73183544,1.130755124,28.61328008,66.44838658,11.45130083,0
6/7/2025,12:00-13:00,13.583539,99.830452,PER-13-034,211.679899,15.18190567,25.41789913,3.632569412,17.40189142,18.00570518,1.896789289,31.29936536,56.77881236,8.267163776,0.00301909
6/7/2025,17:00-18:00,13.583539,99.830452,PER-13-034,189.7252388,1.442705935,53.78387977,1.733087978,5.11876142,8.642121364,1,29.59938116,70.31753052,15.29278417,0.300179458
6/7/2025,08:00-09:00,13.722733,101.04161,PER-14-002,297.1281667,26.65410032,24.37163072,7.287562283,20.59517139,23.49672987,2.013523197,28.7844928,69.75149649,14.24322368,0.008927545
6/7/2025,12:00-13:00,13.722733,101.04161,PER-14-002,303.060548,20.97211913,20.23815378,6.42570289,18.6279986,20.96254833,1.97929541,31.59418157,59.73797398,17.20152715,0.018121689
6/7/2025,17:00-18:00,13.722733,101.04161,PER-14-002,244.2572523,3.21349058,74.69373867,5.194944076,15.1681695,27.33385661,1.071655273,30.14928032,68.92936207,17.24727808,0.56823049
6/7/2025,08:00-09:00,9.134344,99.252318,PER-14-003,307.5170259,13.06648951,21.62224216,2.550274125,9.610985148,12.28369804,1.004287025,27.88572683,75.11724855,17.99865639,0.020058932
6/7/2025,12:00-13:00,9.134344,99.252318,PER-14-003,234.6948292,9.303567673,27.40407534,2.009857668,8.340982635,11.20090552,1.004287025,30.15100818,65.20515157,20.17388044,0.488774808
6/7/2025,17:00-18:00,9.134344,99.252318,PER-14-003,206.732984,2.383712815,50.20797289,1.655727653,8.236522504,13.71992084,1,27.28721591,78.05394856,19.40864871,0.36861849
6/7/2025,08:00-09:00,9.23859,99.69694,PER-14-006,255.1504847,4.850473396,42.45847873,1.506827998,8.249703385,12.49835977,1.007314454,27.89071163,75.06813037,17.95711671,0.01527185
6/7/2025,12:00-13:00,9.23859,99.69694,PER-14-006,250.6000453,5.293046564,41.62421377,1.315509616,9.254213781,14.9236368,1.007314454,30.16342736,65.13198662,20.13942946,0.487234901
6/7/2025,17:00-18:00,9.23859,99.69694,PER-14-006,190.9178922,2.383173622,61.63141535,1.660921607,12.81709526,22.87561502,1,27.29256608,78.0102343,19.37115877,0.36600642
6/7/2025,08:00-09:00,8.20723,98.81496,PER-14-007,192.0118412,5.936130422,41.68243892,1.067508714,9.285499032,16.11629137,1.02794498,26.53325441,83.97033444,19.23092837,0.890459993
6/7/2025,08:00-09:00,7.5520529,99.5818149,PER-18-003,281.8823154,12.30696252,38.09725957,2.739515126,17.87098716,24.52940219,1.591252855,27.6115791,77.91442799,13.91429592,0.390016912
6/7/2025,12:00-13:00,8.20723,98.81496,PER-14-007,226.1662875,5.384585196,38.58722303,1.109004911,8.165770466,14.54057916,1.02794498,27.34376337,79.26953534,21.37001695,0.34132567
6/7/2025,12:00-13:00,7.5520529,99.5818149,PER-18-003,267.4712235,9.78284961,40.97718412,2.306668447,16.11920361,22.64157472,1.591252855,29.37358729,67.97035517,17.01150213,0.212840064
6/7/2025,17:00-18:00,8.20723,98.81496,PER-14-007,222.2285377,2.11154829,53.3694712,1.11326236,11.72614895,21.81977362,1,26.16667664,83.64354487,19.59895737,0.478509034
6/7/2025,17:00-18:00,7.5520529,99.5818149,PER-18-003,227.7596413,1.868881584,62.15657448,1.924443956,12.84356259,22.24596887,1.077341968,27.46296119,76.01198616,16.0070891,0.243875834
6/7/2025,08:00-09:00,9.97798,99.04399,PER-14-009,187.103134,3.176763434,36.99885415,0.927134195,5.945861606,10.02437705,1.000514081,27.10301077,80.97684183,17.99932624,0.718169979
6/7/2025,12:00-13:00,9.97798,99.04399,PER-14-009,181.7298239,2.809504908,36.98561809,0.744841911,5.204635746,8.90637097,1.000514081,28.10681227,72.97708777,19.10489668,0.539376981
6/7/2025,17:00-18:00,9.97798,99.04399,PER-14-009,176.0532591,0.939439765,46.06658674,0.929489647,6.332966343,11.7245192,1,26.7026643,80.98543269,20.49462311,1.125843135
6/7/2025,08:00-09:00,7.003633,100.672424,PER-14-012,419.6345285,16.09011063,47.00193709,3.514388082,23.68626212,33.30170946,2.000111698,28.1980351,76.01274902,12.96905575,0.00028439
6/7/2025,12:00-13:00,7.003633,100.672424,PER-14-012,318.2177359,11.1036678,55.9814379,2.59182991,19.80918318,29.05476724,2.000111698,30.30021765,64.98086816,15.48759387,0.030290614
6/7/2025,17:00-18:00,7.003633,100.672424,PER-14-012,257.1539402,2.034530182,70.0082175,2.405444606,13.69325033,22.38937819,1.000748684,29.0940662,70.00803819,18.35411402,0.069767253
6/7/2025,08:00-09:00,6.849738,101.195486,PER-14-013,333.055675,17.76143772,36.00238461,6.472213996,29.7934109,33.31400067,2.00071594,28.00041163,78.99319502,11.19654087,0.020015027
6/7/2025,12:00-13:00,6.849738,101.195486,PER-14-013,349.6412297,16.09367254,38.00070129,6.653925434,33.67950825,37.01469577,2.00071594,32.19947488,56.99975879,18.69364318,8.16E-05
6/7/2025,17:00-18:00,6.849738,101.195486,PER-14-013,273.7857887,1.480239105,82.99149719,2.406415257,16.65104318,26.64053095,1.999377016,29.49821336,69.00518324,11.20216984,0.060057992
6/7/2025,08:00-09:00,18.3698,103.638,PER-15-002,246.0688252,20.71741523,32.00614888,4.808959703,42.90740815,45.12705976,2.999303115,26.39986069,83.00053346,5.40150611,0.020072655
6/7/2025,12:00-13:00,18.3698,103.638,PER-15-002,262.7128673,10.17691198,47.99677694,4.439293466,27.00442312,29.03908062,1.999811729,27.30103749,79.99499102,10.10040433,0.000135885
6/7/2025,17:00-18:00,18.3698,103.638,PER-15-002,301.5562449,2.035492447,85.99851822,4.254634187,16.83456775,18.13013671,1.999754494,29.59993995,72.99953182,9.699009843,1.039724986
6/7/2025,08:00-09:00,16.703,100.4316,PER-15-003,473.5771431,28.11980787,31.99913304,3.700080529,22.94018755,23.68020672,1.999973826,26.70005769,82.99943623,5.000063065,0.14999863
6/7/2025,12:00-13:00,16.703,100.4316,PER-15-003,525.3707395,22.38504223,23.00051623,3.330144294,21.64549102,22.20052346,2.000001816,29.70003249,67.99991882,6.800541697,2.97E-05
6/7/2025,17:00-18:00,16.703,100.4316,PER-15-003,366.2813913,4.809075436,77.00274704,2.959855897,16.46416849,20.16394892,1.999893788,27.30013854,83.9991354,6.800651532,1.009958322
6/7/2025,08:00-09:00,16.0462,103.6849,PER-15-008,305.3092941,20.3420866,39.01336204,5.549396141,21.6395705,21.82619021,1.999489455,27.79846436,72.00973456,17.99251129,0.000128947
6/7/2025,08:00-09:00,16.0953123,103.6737738,PER-17-011,305.6059662,20.29791934,39.08541739,5.545108759,21.60836928,21.8040993,1.996583815,27.78954483,72.06677971,17.94975921,0.000878376
6/7/2025,12:00-13:00,16.0462,103.6849,PER-15-008,281.248991,18.49517102,32.01042222,7.582618008,18.49944003,19.05546796,1.999775729,31.79756614,57.01185213,12.20511188,0.899029646
6/7/2025,12:00-13:00,16.0953123,103.6737738,PER-17-011,281.511459,18.46837113,32.06858511,7.568621108,18.49555469,19.0573221,1.998450477,31.78370083,57.08012386,12.23217286,0.893664154
6/7/2025,17:00-18:00,16.0462,103.6849,PER-15-008,323.7063,4.06959124,95.98889138,6.843178949,18.86943136,21.461175,1.999565478,30.29928251,66.00437964,12.99998096,0.350339784
6/7/2025,17:00-18:00,16.0953123,103.6737738,PER-17-011,323.4652521,4.06703258,95.92542757,6.832173146,18.86623233,21.46702934,1.997086897,30.29511673,66.03043196,12.99804156,0.352148306
6/7/2025,08:00-09:00,14.6585,101.3822,PER-15-010,362.4794542,22.06702448,31.07473181,12.72645598,13.94540628,15.47110553,1.087959689,26.01938512,80.42789247,9.911637896,0
6/7/2025,12:00-13:00,14.6585,101.3822,PER-15-010,323.0387791,23.51832479,24.15705475,14.76680971,18.86642143,20.92597212,2.031743573,30.8428312,59.86915891,16.99154461,0.030266712
6/7/2025,17:00-18:00,14.6585,101.3822,PER-15-010,227.8930214,3.725360228,83.87604828,10.14927222,13.87051236,20.57825487,1.056216115,29.90036699,67.02788616,12.37028754,0.210109572
6/7/2025,08:00-09:00,14.8752,101.9545,PER-15-011,353.6009316,18.02022907,37.88643959,9.013170453,12.57504314,13.92649092,1.075748767,27.81404704,70.56661974,14.8203582,7.09E-05
